Index,Layer,Text,X,Y,Z
221,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-63.247835,-62.106326,0.000000
222,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-63.252186,-61.925880,0.000000
223,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-60.304922,-62.129288,0.000000
224,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-62.493015,-59.322602,0.000000
225,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-62.691974,-65.026567,0.000000
226,LWK-TXT,P.D.,-52.034121,-52.427469,0.000000
227,LWK-TXT,POTABLE & FLUSHING WATER PUMP ROOM (RRF),-28.338816,10.208145,0.000000
228,0,EVMC,-241.594126,-26.916392,0.000000
229,0,EVMC,-241.164673,-30.003462,0.000000
230,0,EVMC,-241.164673,-30.003462,0.000000
231,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,-49.179790,-1.710266,0.000000
232,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-49.360236,-1.705916,0.000000
233,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-49.179790,-1.710266,0.000000
234,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-49.383202,1.236997,0.000000
235,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-46.576513,-0.951091,0.000000
236,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-52.280478,-1.150059,0.000000
237,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,-37.079611,1.913888,0.000000
238,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-37.042525,2.090535,0.000000
239,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-37.079611,1.913888,0.000000
240,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-34.144490,1.578033,0.000000
241,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-36.806424,-0.784031,0.000000
242,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-35.964969,4.861034,0.000000
243,LWK-SER-SVD-HIGH LEV,"SVD
B1-02",-169.504098,-0.746275,0.000000
244,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,-186.571410,-19.957623,0.000000
245,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-186.542238,-20.135748,0.000000
246,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-186.571410,-19.957623,0.000000
247,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-183.624230,-19.753001,0.000000
248,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-186.178173,-17.274572,0.000000
