CandidateId,RuleSource,SymbolFamilyKind,DoorKind,WidthMm,WidthSource,LeftEdgeMm,RightEdgeMm,OpeningWidthMm,ArcRadiusMm,ArcSweepDeg,DistToWallMm,MatchedWallId,CenterMm,HingeMm,ArcMidMm,WallDirHint,LeafHingeMm,LeafLatchMm,DoorLeafBaseStartMm,DoorLeafBaseEndMm,DoorLeafBaseCenterMm,OpeningCenterMm,VirtualOpeningBaseStartMm,VirtualOpeningBaseEndMm,VirtualOpeningBaseCenterMm,VirtualOpeningWidthMm,PreferVirtualOpeningHost,PlacementSource,FinalPlacementMm,FinalWidthMmApplied,FinalHeightMmApplied,DeltaAlongWallMm,LeafLineSegmentId,ProjectedMm,SegmentIds,UnmatchedReason
1,"R3D","DoubleArcDoorWithWallCrossing","Double",2060.603,"R3DCombinedOpening","(17649.9 24241.8 0.0)","(19710.4 24216.1 0.0)",2060.603,1030.380,89.412,103.950,1659003,"(18680.2 24228.9 0.0)",,"(18676.4 24962.8 0.0)","(0.9999 -0.0125 0.0000)",,,,,,"(18680.2 24228.9 0.0)","(17649.9 24241.8 0.0)","(19710.4 24216.1 0.0)","(18680.2 24228.9 0.0)",2060.603,true,,,0.000,0.000,1675.159,0,"(18680.2 24125.0 0.0)","1|2|4|5|6|7|3|8|18|17|9|10|16|11|12|15|13|14",
2,"R3D","DoubleArcDoorWithWallCrossing","Double",2060.603,"R3DCombinedOpening","(33314.4 30864.5 0.0)","(35374.9 30838.8 0.0)",2060.603,1030.380,89.412,81.691,1659052,"(34344.7 30851.7 0.0)",,"(34340.9 31585.5 0.0)","(0.9999 -0.0125 0.0000)",,,,,,"(34344.7 30851.7 0.0)","(33314.4 30864.5 0.0)","(35374.9 30838.8 0.0)","(34344.7 30851.7 0.0)",2060.603,true,,,0.000,0.000,1564.664,0,"(34344.7 30770.0 0.0)","19|20|22|23|24|25|21|26|36|35|27|28|34|29|30|33|31|32",
3,"R3D","DoubleArcDoorWithWallCrossing","Double",2064.867,"R3DCombinedOpening","(29225.1 42162.9 0.0)","(29225.1 44227.8 0.0)",2064.867,1030.380,89.412,105.081,1659034,"(29225.1 43195.4 0.0)",,"(29958.9 43199.1 0.0)","(0.0000 1.0000 0.0000)",,,,,,"(29225.1 43195.4 0.0)","(29225.1 42162.9 0.0)","(29225.1 44227.8 0.0)","(29225.1 43195.4 0.0)",2064.867,true,,,0.000,0.000,1760.365,0,"(29120.0 43195.4 0.0)","37|38|40|41|42|43|39|44|54|53|45|46|52|47|48|51|49|50",
4,"R3D","DoubleArcDoorWithWallCrossing","Double",2060.603,"R3DCombinedOpening","(15320.9 39506.3 0.0)","(17381.4 39480.6 0.0)",2060.603,1030.380,89.412,103.495,1659015,"(16351.2 39493.5 0.0)",,"(16347.4 40227.3 0.0)","(0.9999 -0.0125 0.0000)",,,,,,"(16351.2 39493.5 0.0)","(15320.9 39506.3 0.0)","(17381.4 39480.6 0.0)","(16351.2 39493.5 0.0)",2060.603,true,,,0.000,0.000,1671.171,0,"(16351.2 39390.0 0.0)","55|56|58|59|60|61|57|62|72|71|63|64|70|65|66|69|67|68",
5,"R3D","DoubleArcDoorWithWallCrossing","Double",2064.867,"R3DCombinedOpening","(49872.9 40516.6 0.0)","(49872.9 38451.7 0.0)",2064.867,1030.380,89.412,107.141,1659038,"(49872.9 39484.2 0.0)",,"(49139.0 39480.4 0.0)","(0.0000 -1.0000 0.0000)",,,,,,"(49872.9 39484.2 0.0)","(49872.9 40516.6 0.0)","(49872.9 38451.7 0.0)","(49872.9 39484.2 0.0)",2064.867,true,,,0.000,0.000,1589.164,0,"(49980.0 39484.2 0.0)","73|74|76|77|78|79|75|80|90|89|81|82|88|83|84|87|85|86",
6,"R3D","DoubleArcDoorWithWallCrossing","Double",2060.603,"R3DCombinedOpening","(37295.6 35361.7 0.0)","(39356.1 35336.0 0.0)",2060.603,1030.380,89.412,98.853,1659004,"(38325.8 35348.9 0.0)",,"(38322.1 36082.7 0.0)","(0.9999 -0.0125 0.0000)",,,,,,"(38325.8 35348.9 0.0)","(37295.6 35361.7 0.0)","(39356.1 35336.0 0.0)","(38325.8 35348.9 0.0)",2060.603,true,,,0.000,0.000,1995.843,0,"(38325.8 35250.0 0.0)","91|92|94|95|96|97|93|98|108|107|99|100|106|101|102|105|103|104",
7,"R3D","DoubleArcDoorWithWallCrossing","Double",1401.996,"R3DCombinedOpening","(56891.0 35337.8 0.0)","(58292.9 35320.4 0.0)",1401.996,701.051,89.412,49.094,1659025,"(57591.9 35329.1 0.0)",,"(57589.4 35828.4 0.0)","(0.9999 -0.0125 0.0000)",,,,,,"(57591.9 35329.1 0.0)","(56891.0 35337.8 0.0)","(58292.9 35320.4 0.0)","(57591.9 35329.1 0.0)",1401.996,true,,,0.000,0.000,2346.946,0,"(57591.9 35280.0 0.0)","689|690|692|693|694|695|691|696|706|705|697|698|704|699|700|703|701|702",
8,"R3D","DoubleArcDoorWithWallCrossing","Double",1401.996,"R3DCombinedOpening","(56891.0 37792.8 0.0)","(58292.9 37775.4 0.0)",1401.996,701.051,89.412,89.094,1659024,"(57591.9 37784.1 0.0)",,"(57589.4 38283.4 0.0)","(0.9999 -0.0125 0.0000)",,,,,,"(57591.9 37784.1 0.0)","(56891.0 37792.8 0.0)","(58292.9 37775.4 0.0)","(57591.9 37784.1 0.0)",1401.996,true,,,0.000,0.000,7551.946,0,"(57591.9 37695.0 0.0)","2152|2153|2155|2156|2157|2158|2154|2159|2195|2194|2160|2161|2167|2162|2163|2166|2164|2165",
9,"R3","StandardArcDoor","Single",765.000,"FreeEndOpening",,,0.000,810.000,90.000,89.949,1659079,"(61715.8 35384.9 0.0)","(61288.3 35384.9 0.0)","(61861.1 35957.7 0.0)",,"(61333.3 36194.9 0.0)","(61333.3 35384.9 0.0)",,,,"(61715.8 35384.9 0.0)",,,,0.000,false,,,0.000,0.000,470.811,630,"(61715.8 35295.0 0.0)","624|630",
10,"R3","StandardArcDoor","Single",765.000,"FreeEndOpening",,,0.000,810.000,90.000,32.682,1659020,"(55202.3 34649.9 0.0)","(55202.3 35077.4 0.0)","(54629.6 34504.7 0.0)",,"(54392.3 35032.4 0.0)","(55202.3 35032.4 0.0)",,,,"(55202.3 34649.9 0.0)",,,,0.000,false,,,0.000,0.000,5554.949,643,"(55235.0 34649.9 0.0)","637|643",
