CandidateId,RuleSource,SymbolFamilyKind,DoorKind,WidthMm,WidthSource,LeftEdgeMm,RightEdgeMm,OpeningWidthMm,ArcRadiusMm,ArcSweepDeg,DistToWallMm,MatchedWallId,CenterMm,HingeMm,ArcMidMm,WallDirHint,LeafHingeMm,LeafLatchMm,DoorLeafBaseStartMm,DoorLeafBaseEndMm,DoorLeafBaseCenterMm,OpeningCenterMm,VirtualOpeningBaseStartMm,VirtualOpeningBaseEndMm,VirtualOpeningBaseCenterMm,VirtualOpeningWidthMm,PreferVirtualOpeningHost,PlacementSource,FinalPlacementMm,FinalWidthMmApplied,FinalHeightMmApplied,DeltaAlongWallMm,LeafLineSegmentId,ProjectedMm,SegmentIds,UnmatchedReason
1,"R3D","DoubleArcDoorWithWallCrossing","Double",2064.867,"R3DCombinedOpening","(61369.7 10409.5 0.0)","(61345.0 12474.2 0.0)",2064.867,1030.380,89.412,103.115,1588955,"(61357.3 11441.8 0.0)",,"(62091.1 11454.3 0.0)","(-0.0119 0.9999 0.0000)",,,,,,"(61357.3 11441.8 0.0)","(61369.7 10409.5 0.0)","(61345.0 12474.2 0.0)","(61357.3 11441.8 0.0)",2064.867,true,,,0.000,0.000,1694.467,0,"(61254.2 11440.6 0.0)","1|2|4|5|6|7|3|8|18|17|9|10|16|11|12|15|13|14",
2,"R3D","DoubleArcDoorWithWallCrossing","Double",2060.603,"R3DCombinedOpening","(47307.6 5106.1 0.0)","(49368.2 5105.0 0.0)",2060.603,1030.380,89.412,104.548,1588956,"(48337.9 5105.5 0.0)",,"(48325.4 5839.3 0.0)","(1.0000 -0.0005 0.0000)",,,,,,"(48337.9 5105.5 0.0)","(47307.6 5106.1 0.0)","(49368.2 5105.0 0.0)","(48337.9 5105.5 0.0)",2060.603,true,,,0.000,0.000,1694.339,0,"(48339.2 5001.0 0.0)","19|20|22|23|24|25|21|26|36|35|27|28|34|29|30|33|31|32",
3,"R3D","DoubleArcDoorWithWallCrossing","Double",2064.867,"R3DCombinedOpening","(41115.0 6337.0 0.0)","(42298.2 8029.2 0.0)",2064.867,1030.380,89.412,104.099,1588954,"(41706.6 7183.1 0.0)",,"(42310.2 6765.6 0.0)","(0.5730 0.8195 0.0000)",,,,,,"(41706.6 7183.1 0.0)","(41115.0 6337.0 0.0)","(42298.2 8029.2 0.0)","(41706.6 7183.1 0.0)",2064.867,true,,,0.000,0.000,3151.696,0,"(41621.3 7242.7 0.0)","37|38|40|41|42|43|39|44|54|53|45|46|52|47|48|51|49|50",
