CandidateId,RuleSource,SymbolFamilyKind,DoorKind,WidthMm,WidthSource,LeftEdgeMm,RightEdgeMm,OpeningWidthMm,ArcRadiusMm,ArcSweepDeg,DistToWallMm,MatchedWallId,CenterMm,HingeMm,ArcMidMm,WallDirHint,LeafHingeMm,LeafLatchMm,DoorLeafBaseStartMm,DoorLeafBaseEndMm,DoorLeafBaseCenterMm,OpeningCenterMm,VirtualOpeningBaseStartMm,VirtualOpeningBaseEndMm,VirtualOpeningBaseCenterMm,VirtualOpeningWidthMm,PreferVirtualOpeningHost,PlacementSource,FinalPlacementMm,FinalWidthMmApplied,FinalHeightMmApplied,DeltaAlongWallMm,LeafLineSegmentId,ProjectedMm,SegmentIds,UnmatchedReason
1,"R3D","DoubleArcDoorWithWallCrossing","Double",2064.867,"R3DCombinedOpening","(30661.8 32485.4 0.0)","(31969.4 34083.5 0.0)",2064.867,1030.380,89.412,104.171,1588995,"(31315.6 33284.5 0.0)",,"(31885.9 32822.6 0.0)","(0.6333 0.7739 0.0000)",,,,,,"(31315.6 33284.5 0.0)","(30661.8 32485.4 0.0)","(31969.4 34083.5 0.0)","(31315.6 33284.5 0.0)",2064.867,true,,,0.000,0.000,3972.795,0,"(31235.0 33350.4 0.0)","1|2|4|5|6|7|3|8|18|17|9|10|16|11|12|15|13|14",
2,"R3D","DoubleArcDoorWithWallCrossing","Double",2060.603,"R3DCombinedOpening","(40610.7 35957.1 0.0)","(42189.1 34632.4 0.0)",2060.603,1030.380,89.412,103.139,1588992,"(41399.9 35294.8 0.0)",,"(41861.7 35865.1 0.0)","(0.7660 -0.6429 0.0000)",,,,,,"(41399.9 35294.8 0.0)","(40610.7 35957.1 0.0)","(42189.1 34632.4 0.0)","(41399.9 35294.8 0.0)",2060.603,true,,,0.000,0.000,1698.248,0,"(41334.6 35214.9 0.0)","19|20|22|23|24|25|21|26|36|35|27|28|34|29|30|33|31|32",
3,"R3D","DoubleArcDoorWithWallCrossing","Double",2060.603,"R3DCombinedOpening","(49499.6 34584.7 0.0)","(51560.0 34559.0 0.0)",2060.603,1030.380,89.412,106.837,1588994,"(50529.8 34571.8 0.0)",,"(50526.1 35305.7 0.0)","(0.9999 -0.0125 0.0000)",,,,,,"(50529.8 34571.8 0.0)","(49499.6 34584.7 0.0)","(51560.0 34559.0 0.0)","(50529.8 34571.8 0.0)",2060.603,true,,,0.000,0.000,1694.816,0,"(50529.8 34465.0 0.0)","37|38|40|41|42|43|39|44|54|53|45|46|52|47|48|51|49|50",
4,"R3D","DoubleArcDoorWithWallCrossing","Double",2064.867,"R3DCombinedOpening","(20308.3 33759.1 0.0)","(20278.6 35823.7 0.0)",2064.867,1030.380,89.412,104.524,1588993,"(20293.4 34791.4 0.0)",,"(21027.2 34805.7 0.0)","(-0.0144 0.9999 0.0000)",,,,,,"(20293.4 34791.4 0.0)","(20308.3 33759.1 0.0)","(20278.6 35823.7 0.0)","(20293.4 34791.4 0.0)",2064.867,true,,,0.000,0.000,1695.223,0,"(20188.9 34789.9 0.0)","55|56|58|59|60|61|57|62|72|71|63|64|70|65|66|69|67|68",
