CandidateId,RuleSource,SymbolFamilyKind,DoorKind,WidthMm,WidthSource,LeftEdgeMm,RightEdgeMm,OpeningWidthMm,ArcRadiusMm,ArcSweepDeg,DistToWallMm,MatchedWallId,CenterMm,HingeMm,ArcMidMm,WallDirHint,LeafHingeMm,LeafLatchMm,DoorLeafBaseStartMm,DoorLeafBaseEndMm,DoorLeafBaseCenterMm,OpeningCenterMm,VirtualOpeningBaseStartMm,VirtualOpeningBaseEndMm,VirtualOpeningBaseCenterMm,VirtualOpeningWidthMm,PreferVirtualOpeningHost,PlacementSource,FinalPlacementMm,FinalWidthMmApplied,FinalHeightMmApplied,DeltaAlongWallMm,LeafLineSegmentId,ProjectedMm,SegmentIds,UnmatchedReason
1,"R3B","MinimalArcDoorNoWallCrossing","Single",876.300,"FreeEndOpeningBase",,,876.300,914.400,87.614,191.873,1589042,"(55480.2 71353.1 0.0)",,"(55296.5 71986.1 0.0)","(1.0000 0.0000 0.0000)",,,"(55042.0 71353.1 0.0)","(55918.3 71353.1 0.0)","(55480.2 71353.1 0.0)","(55480.2 71353.1 0.0)","(55042.0 71353.1 0.0)","(55918.3 71353.1 0.0)","(55480.2 71353.1 0.0)",876.300,true,,,0.000,0.000,4225.199,7,"(55480.2 71545.0 0.0)","6|7",
2,"R3","StandardArcDoor","Single",876.300,"FreeEndOpening",,,0.000,914.400,87.614,63.873,1589006,"(59334.6 71226.1 0.0)","(58858.4 71226.1 0.0)","(59518.3 70593.2 0.0)",,"(58896.5 70311.7 0.0)","(58896.5 71226.1 0.0)",,,,"(59334.6 71226.1 0.0)",,,,0.000,false,,,0.000,0.000,2278.399,2,"(58858.4 71290.0 0.0)","1|2",
3,"R3","StandardArcDoor","Single",876.300,"FreeEndOpening",,,0.000,914.400,87.614,64.222,1589041,"(58725.8 68883.0 0.0)","(58725.8 68406.7 0.0)","(58092.8 69066.6 0.0)",,"(57811.4 68444.8 0.0)","(58725.8 68444.8 0.0)",,,,"(58725.8 68883.0 0.0)",,,,0.000,false,,,0.000,0.000,1.727,12,"(58790.0 68406.7 0.0)","11|12",
