CandidateId,RuleSource,SymbolFamilyKind,DoorKind,WidthMm,WidthSource,LeftEdgeMm,RightEdgeMm,OpeningWidthMm,ArcRadiusMm,ArcSweepDeg,DistToWallMm,MatchedWallId,CenterMm,HingeMm,ArcMidMm,WallDirHint,LeafHingeMm,LeafLatchMm,DoorLeafBaseStartMm,DoorLeafBaseEndMm,DoorLeafBaseCenterMm,OpeningCenterMm,VirtualOpeningBaseStartMm,VirtualOpeningBaseEndMm,VirtualOpeningBaseCenterMm,VirtualOpeningWidthMm,PreferVirtualOpeningHost,PlacementSource,FinalPlacementMm,FinalWidthMmApplied,FinalHeightMmApplied,DeltaAlongWallMm,LeafLineSegmentId,ProjectedMm,SegmentIds,UnmatchedReason
1,"R3BD","MinimalDoubleArcDoorNoWallCrossing","Double",2064.867,"R3BDIndependentOpening","(47683.9 -1242.1 0.0)","(47666.2 822.7 0.0)",2064.867,1030.380,89.412,120.029,1589113,"(47675.0 -209.7 0.0)",,"(48408.8 -199.7 0.0)","(-0.0086 1.0000 0.0000)",,,,,,"(47675.0 -209.7 0.0)","(47683.9 -1242.1 0.0)","(47666.2 822.7 0.0)","(47675.0 -209.7 0.0)",2064.867,true,,,0.000,0.000,1694.699,0,"(47555.0 -209.7 0.0)","1|2|4|5|6|7|3|8|18|17|9|10|16|11|12|15|13|14",
2,"R3D","DoubleArcDoorWithWallCrossing","Double",2064.867,"R3DCombinedOpening","(41115.0 6337.0 0.0)","(42298.2 8029.2 0.0)",2064.867,1030.380,89.412,104.099,1589114,"(41706.6 7183.1 0.0)",,"(42310.2 6765.6 0.0)","(0.5730 0.8195 0.0000)",,,,,,"(41706.6 7183.1 0.0)","(41115.0 6337.0 0.0)","(42298.2 8029.2 0.0)","(41706.6 7183.1 0.0)",2064.867,true,,,0.000,0.000,3151.696,0,"(41621.3 7242.7 0.0)","19|20|22|23|24|25|21|26|36|35|27|28|34|29|30|33|31|32",
